,word,pn
1047,ワンマン,-1
1049,唖然,-1
1053,阿呆,-1
1060,哀しい,-1
1061,哀しむ,-1
1062,哀れ,-1
1063,愛想,-1
1065,悪,-1
1069,悪い,-1
1070,悪賢い,-1
1071,悪達者,-1
1075,悪辣,-1
1077,扱い,-1
1079,安っぽい,-1
1080,安普請,-1
1082,安物,-1
1086,暗い,-1
1087,暗む,-1
1088,暗愚,-1
1092,暗鬱,-1
1094,暗澹,-1
1099,意気地無し,-1
1103,意固地,-1
1105,意志,-1
1109,意地,-1
1111,意地っぱり,-1
1115,意地っ張り,-1
1119,意地汚い,-1
1120,意地張り,-1
1124,違和感,-1
1129,一巻,-1
1131,一苦労,-1
1132,一文惜しみ,-1
1136,引っ込み,-1
1138,引っ込み思案,-1
1142,淫蕩,-1
1146,淫猥,-1
1148,淫靡,-1
1152,陰うつ,-1
1154,陰気臭い,-1
1155,陰険,-1
1157,陰惨,-1
1159,陰湿,-1
1161,陰鬱,-1
1163,烏滸がましい,-1
1164,迂遠,-1
1166,迂愚,-1
1168,迂闊,-1
1170,雲泥の差,-1
1175,影,-1
1177,厭,-1
1179,厭わしい,-1
1180,怨めしい,-1
1181,縁,-1
1183,汚い,-1
1184,汚らしい,-1
1185,汚らわしい,-1
1186,汚れ,-1
1187,汚穢,-1
1191,奥行き,-1
1192,押し,-1
1193,押し付けがましい,-1
1194,横柄,-1
1196,横様,-1
1198,臆病者,-1
1204,下らない,-1
1205,下賎,-1
1207,下等,-1
1209,下劣,-1
1213,可哀相,-1
1216,禍々しい,-1
1217,禍禍しい,-1
1218,苛酷,-1
1220,苛烈,-1
1222,過ち,-1
1223,過酷,-1
1225,我が物顔,-1
1229,画一,-1
1231,怪しい,-1
1232,怪しげ,-1
1234,怪異,-1
1236,怪奇,-1
1238,格好,-1
1239,角,-1
1240,角張り,-1
1241,隔靴掻痒,-1
1245,隔心,-1
1249,楽しみ,-1
1250,割に,-1
1251,恰好,-1
1253,寒々,-1
1254,寒ざむ,-1
1255,寒寒,-1
1256,勘弁,-1
1257,感情,-1
1259,甘,-1
1260,甘ったれる,-1
1261,緩い,-1
1262,間,-1
1264,間延び,-1
1267,閑散,-1
1269,頑愚,-1
1273,頑冥,-1
1275,頑迷,-1
1277,顔負け,-1
1281,危うい,-1
1282,危ない,-1
1283,危なっかしい,-1
1284,奇々怪々,-1
1288,奇っ怪,-1
1290,奇奇怪怪,-1
1294,奇態,-1
1296,希薄,-1
1298,忌まわしい,-1
1299,忌わしい,-1
1300,機械,-1
1314,気ぜわしい,-1
1315,気むずかしい,-1
1316,気弱,-1
1318,気取っ,-1
1319,気色,-1
1320,気早,-1
1322,気短,-1
1324,気難しい,-1
1325,気付き,-1
1326,気分,-1
1327,気忙しい,-1
1328,気味が悪い,-1
1329,稀薄,-1
1331,儀式張っ,-1
1332,戯け,-1
1335,疑い深い,-1
1336,疑わしい,-1
1337,疑問,-1
1338,詰屈,-1
1340,逆賊,-1
1344,泣き所,-1
1348,泣き虫,-1
1352,居丈高,-1
1354,虚仮,-1
1358,許し,-1
1359,凶漢,-1
1363,凶暴,-1
1365,凶猛,-1
1369,強情,-1
1373,強情っぱり,-1
1375,強欲,-1
1377,怯懦,-1
1381,恐るべき,-1
1382,恐れ,-1
1383,恐れ多い,-1
1384,狂わしい,-1
1385,狂人,-1
1389,狂暴,-1
1391,狂乱,-1
1392,狭苦しい,-1
1393,狭量,-1
1395,狭隘,-1
1397,脅かす,-1
1398,興味,-1
1399,驚き,-1
1400,仰々しい,-1
1401,仰仰しい,-1
1406,極貧,-1
1410,僅少,-1
1414,近目,-1
1418,銀流し,-1
1422,苦,-1
1423,苦々しい,-1
1424,苦し紛れ,-1
1426,苦肉の策,-1
1435,愚か,-1
1436,愚かしい,-1
1437,愚人,-1
1441,愚図,-1
1445,愚直,-1
1449,愚鈍,-1
1453,愚物,-1
1457,愚昧,-1
1459,愚劣,-1
1463,空々しい,-1
1464,空しい,-1
1465,空回り,-1
1466,空恐ろしい,-1
1467,空空しい,-1
1468,空疎,-1
1470,空中,-1
1474,屈伏,-1
1475,屈服,-1
1476,型,-1
1477,形無し,-1
1481,軽々しい,-1
1482,軽はずみ,-1
1486,軽視,-1
1487,軽蔑,-1
1488,軽躁,-1
1492,激越,-1
1494,隙,-1
1495,欠陥,-1
1499,喧しい,-1
1500,喧嘩腰,-1
1504,堅苦しい,-1
1505,堅物,-1
1509,嫌,-1
1510,嫌み,-1
1514,嫌味,-1
1516,見えっ張り,-1
1518,見ぐるしい,-1
1519,見づらい,-1
1520,見にくい,-1
1523,見下す,-1
1524,見苦しい,-1
1526,険しい,-1
1527,険悪,-1
1531,険難,-1
1534,厳つい,-1
1535,厳酷,-1
1537,幻怪,-1
1541,言語道断,-1
1545,個性,-1
1547,古めかしい,-1
1548,古臭い,-1
1549,固陋,-1
1551,姑息,-1
1553,胡散臭い,-1
1554,誇大,-1
1560,後の祭り,-1
1565,御,-1
1567,御機嫌,-1
1571,御大層,-1
1573,効き,-1
1576,厚かましい,-1
1577,厚ぼったい,-1
1578,厚顔,-1
1580,口,-1
1583,口惜しい,-1
1584,口先,-1
1586,向う見ず,-1
1588,好い加減,-1
1590,好きもの,-1
1594,好き嫌い,-1
1596,巧言令色,-1
1600,慌しい,-1
1601,慌ただしい,-1
1602,甲斐性,-1
1607,荒々しい,-1
1608,荒くれ,-1
1609,荒っぽい,-1
1610,荒らか,-1
1612,荒荒しい,-1
1613,荒削り,-1
1617,荒誕,-1
1621,荒唐,-1
1625,高慢,-1
1629,高慢ちき,-1
1633,剛愎,-1
1637,合わせ,-1
1638,酷,-1
1643,酷い,-1
1644,酷しい,-1
1645,酷薄,-1
1649,酷烈,-1
1653,腰砕け,-1
1657,腰弱,-1
1659,腰抜け,-1
1663,今ひとつ,-1
1664,今一つ,-1
1669,恨めしい,-1
1671,根性,-1
1675,根無し,-1
1679,差,-1
1682,差し支える,-1
1683,差し出がましい,-1
1684,差支える,-1
1685,差別,-1
1687,細細,-1
1688,在り来り,-1
1690,罪ぶかい,-1
1691,罪作り,-1
1695,罪深い,-1
1696,策士,-1
1700,擦れっ枯らし,-1
1704,殺人,-1
1706,殺伐,-1
1709,殺伐と,-1
1710,雑,-1
1714,雑然,-1
1717,惨い,-1
1718,惨たらしい,-1
1719,惨烈,-1
1723,惨憺,-1
1727,散々,-1
1729,散散,-1
1731,酸鼻,-1
1735,残り惜しい,-1
1736,残り多い,-1
1737,残刻,-1
1739,残忍,-1
1743,仕方,-1
1746,使い,-1
1750,刺々しい,-1
1751,刺刺しい,-1
1752,子供,-1
1753,子供だまし,-1
